mileage,make,model,gear,offerType,price,hp,year
15500.0,1,26,1,3,27940.0,150.0,2019
14900.0,9,109,0,3,27950.0,150.0,2019
26175.0,18,50,0,3,2.0,194.0,2019
15.0,28,63,0,3,2.0,218.0,2019
14355.0,11,206,0,3,27991.0,177.0,2019
28458.0,23,197,0,3,28401.0,224.0,2019
34464.0,29,112,0,3,28450.0,245.0,2019
22422.0,29,198,0,3,28480.0,190.0,2019
5.0,14,147,0,0,28590.0,179.0,2019
28933.0,14,147,0,0,28690.0,238.0,2019
20302.0,9,109,1,3,28711.0,190.0,2019
17894.0,29,196,1,3,28718.0,114.0,2019
43769.13214285715,1,27,0,3,28750.0,136.0,2019
8191.0,1,160,0,3,13406.062773722628,150.0,2019
13399.0,29,198,1,3,28870.0,150.0,2019
193.0,9,132,0,3,28950.0,179.0,2019
9306.0,9,157,1,1,21498.0,125.0,2020
43769.13214285715,11,230,0,0,21540.0,140.0,2020
6500.0,24,42,1,0,21550.0,116.0,2020
5.0,11,206,0,2,36870.0,179.0,2021
43769.13214285715,11,230,0,2,3.0,280.0,2021
43769.13214285715,11,230,0,2,37550.0,280.0,2021
5.0,11,206,0,2,37970.0,230.0,2021
5.0,11,206,0,2,37970.0,230.0,2021
125.0,29,198,0,1,37980.0,150.0,2021
125.0,29,198,0,1,37980.0,150.0,2021
18.0,11,206,0,2,37988.0,230.0,2021
43769.13214285715,11,206,0,0,38387.0,230.0,2021
43769.13214285715,11,206,0,2,38440.0,265.0,2021
12.0,9,201,1,3,39850.0,185.0,2021
5.0,13,74,0,0,39890.0,179.0,2021
12.0,11,206,0,2,39988.0,179.0,2021
2900.0,6,133,0,3,3.0,245.0,2021
2500.0,6,100,0,0,3.0,245.0,2021
1500.0,6,42,0,1,40499.0,300.0,2021
2500.0,21,120,0,3,40780.0,300.0,2021
2222.0,-1,16,0,0,40840.0,181.0,2021
43769.13214285715,9,166,0,3,40850.0,212.0,2021
43769.13214285715,5,187,0,2,40890.0,177.0,2021
177.0,23,136,1,3,13406.062773722628,90.0,2011
177.0,9,99,1,3,3999.0,9.0,2011
1.0,31,227,0,3,3999.0,61.0,2011
83223.0,-1,5,1,3,3999.0,95.0,2011
69.0,23,71,1,3,3999.0,75.0,2011
162300.0,21,41,1,3,3999.0,1.0,2011
144.0,18,23,1,3,3999.0,9.0,2011
46850.0,27,37,-1,3,3999.0,68.0,2011
16.0,11,230,1,3,3999.0,90.0,2011
500.0,29,200,1,3,3999.0,5.0,2011
9.0,24,122,1,3,4.0,69.0,2011
145.0,5,55,1,3,4.0,73.0,2011
54071.0,11,228,1,3,4099.0,69.0,2011
176.0,27,191,1,3,4200.0,75.0,2011
30500.0,-1,5,1,3,4200.0,95.0,2011
434.0,25,190,0,3,4200.0,170.0,2011
306.0,8,182,1,3,4200.0,136.0,2011
62.0,8,149,1,3,4200.0,69.0,2011
144134.0,11,230,1,3,4490.0,90.0,2012
1.0,8,15,1,3,4490.0,69.0,2012
43.0,11,228,1,3,4490.0,69.0,2012
0.0,23,71,1,3,4490.0,75.0,2012
77709.0,20,138,1,3,4490.0,80.0,2012
1474.0,-1,5,1,3,4499.0,95.0,2012
16.0,-1,9,1,3,4499.0,111.0,2012
7.0,21,79,1,3,4499.0,69.0,2012
75.0,9,97,1,3,4499.0,60.0,2012
90.0,14,154,1,3,4499.0,69.0,2012
98789.0,21,79,1,3,4499.0,87.0,2012
90.0,29,235,1,3,4500.0,60.0,2012
207.0,21,73,1,3,4500.0,5.0,2012
153.0,25,170,1,3,4500.0,75.0,2012
14.0,21,41,1,3,4500.0,1.0,2012
65500.0,21,79,1,3,4500.0,69.0,2012
117.0,29,235,1,3,4500.0,75.0,2012
167500.0,21,79,1,3,4500.0,131.0,2012
61700.0,23,207,1,3,4500.0,75.0,2012
97.0,14,154,1,3,13406.062773722628,69.0,2013
75.0,19,186,1,3,13406.062773722628,80.0,2013
155.0,23,136,1,3,13406.062773722628,116.0,2013
155.0,23,136,1,3,13406.062773722628,116.0,2013
175.0,14,68,1,3,13406.062773722628,128.0,2013
12.0,25,96,1,3,13406.062773722628,86.0,2013
74415.0,8,119,1,3,13406.062773722628,69.0,2013
42.0,11,229,1,3,13406.062773722628,86.0,2013
43769.13214285715,21,79,1,3,5150.0,87.0,2013
240.0,9,99,1,3,5150.0,140.0,2013
129073.0,14,168,1,3,5199.0,9.0,2013
38220.0,28,44,1,3,5200.0,68.0,2013
77220.0,23,136,1,3,5200.0,1.0,2013
2.0,25,144,1,3,13406.062773722628,5.0,2013
43769.13214285715,8,149,0,3,5300.0,86.0,2013
74.0,23,207,1,3,5300.0,75.0,2013
9.0,24,139,1,3,5300.0,60.0,2013
96.0,21,79,1,3,5300.0,69.0,2013
43769.13214285715,4,82,1,3,5300.0,141.0,2013
197.0,28,221,1,3,5300.0,99.0,2013
129.0,20,143,1,3,5600.0,90.0,2014
8900.0,21,79,1,3,5650.0,87.0,2014
0.0,25,96,1,3,5650.0,60.0,2014
50130.0,8,158,1,3,5680.0,69.0,2014
53196.0,31,227,0,3,5700.0,71.0,2014
125.0,25,96,1,3,5700.0,75.0,2014
6700.0,25,96,1,3,57.0,75.0,2014
90.0,25,96,1,3,5750.0,75.0,2014
32.0,21,79,1,3,5750.0,69.0,2014
32.0,21,79,1,3,5750.0,69.0,2014
33.0,8,149,1,3,5750.0,69.0,2014
70400.0,24,122,1,3,5790.0,69.0,2014
63.0,7,134,1,3,5790.0,75.0,2014
47765.0,21,79,1,3,5790.0,69.0,2014
45.0,-1,21,1,3,5799.0,82.0,2014
2900.0,9,97,1,3,5799.0,60.0,2014
97333.0,9,97,1,3,5800.0,125.0,2014
43769.13214285715,24,36,1,3,5800.0,5.0,2014
43769.13214285715,8,15,1,3,5800.0,69.0,2014
93651.0,29,235,1,3,5800.0,60.0,2014
55299.0,11,228,1,3,5944.0,67.0,2015
53800.0,29,235,1,3,13406.062773722628,60.0,2015
53.0,24,122,1,3,13406.062773722628,69.0,2015
22600.0,-1,21,1,3,13406.062773722628,69.0,2015
125.0,24,122,1,3,13406.062773722628,86.0,2015
0.0,25,70,1,3,13406.062773722628,60.0,2015
27.0,29,110,1,3,13406.062773722628,5.0,2015
55.0,23,207,1,3,13406.062773722628,71.0,2015
3.0,29,235,1,3,5999.0,60.0,2015
900.0,7,179,1,3,5999.0,90.0,2015
94751.0,-1,6,1,3,5999.0,82.0,2015
32.0,23,207,1,3,5999.0,71.0,2015
43769.13214285715,19,186,1,3,5999.0,71.0,2015
54777.0,9,97,1,3,5999.0,60.0,2015
85675.0,29,235,1,3,5999.0,60.0,2015
11.0,25,96,1,3,6.0,90.0,2015
54500.0,9,97,1,3,60.0,82.0,2015
43447.0,21,79,1,3,60.0,69.0,2015
790.0,20,138,1,3,6199.0,80.0,2015
44849.0,31,227,1,3,6200.0,71.0,2015
50423.0,29,153,0,3,34822.0,334.0,2016
72072.0,29,153,0,3,34822.0,334.0,2016
52916.0,29,153,0,3,34822.0,334.0,2016
5.0,29,153,0,3,34822.0,334.0,2016
